menu_title	炙单
button_start	开始
button_option	设置
button_exit	出口
selected_language	选择的语言是{0}
button_locales	语言
button_back	回
game_meny_title	游戏菜单
button_continue	继续
button_restart	重新启动
locales_title	语言
options_title	设置
music_setting	音乐:
sfx_setting	声音:
button_ok	好
door_line_1	关着门
door_line_2	找到钥匙吧
Crabby_GetCoin_1	你想看到奇迹吗？
Crabby_GetCoin_2	想
Crabby_GetCoin_3	我一枚硬币
Crabby_CoinObtained_1	这是一个奇迹
Crabby_CoinObtained_2	现在我有一枚硬币
Crabby_CoinObtained_3	你没有
Crabby_CoinObtained_4	哈哈哈哈哈
Crabby_CoinObtained_5	厉害
continue_line	继续...
